Y,date
1,2014/10/27
1,2014/11/3
0,2014/11/10
0,2014/11/17
0,2014/11/24
0,2014/12/1
0,2014/12/8
2,2014/12/15
0,2014/12/22
0,2014/12/29
0,2015/1/5
1,2015/1/12
0,2015/1/19
0,2015/1/26
0,2015/2/2
0,2015/2/9
0,2015/2/16
0,2015/2/23
0,2015/3/2
0,2015/3/9
0,2015/3/16
0,2015/3/23
0,2015/3/30
2,2015/4/6
1,2015/4/13
1,2015/4/20
1,2015/4/27
0,2015/5/4
0,2015/5/11
0,2015/5/18
1,2015/5/25
1,2015/6/1
0,2015/6/8
1,2015/6/15
0,2015/6/22
0,2015/6/29
0,2015/7/6
0,2015/7/13
0,2015/7/20
0,2015/7/27
0,2015/8/3
0,2015/8/10
0,2015/8/17
0,2015/8/24
0,2015/8/31
0,2015/9/7
0,2015/9/14
0,2015/9/21
0,2015/9/28
0,2015/10/5
0,2015/10/12
0,2015/10/19
0,2015/10/26
0,2015/11/2
0,2015/11/9
0,2015/11/16
0,2015/11/23
1,2015/11/30
0,2015/12/7
0,2015/12/14
0,2015/12/21
0,2015/12/28
0,2016/1/4
0,2016/1/11
0,2016/1/18
0,2016/1/25
0,2016/2/1
0,2016/2/8
0,2016/2/15
0,2016/2/22
0,2016/2/29
0,2016/3/7
0,2016/3/14
0,2016/3/21
1,2016/3/28
0,2016/4/4
0,2016/4/11
0,2016/4/18
0,2016/4/25
0,2016/5/2
2,2016/5/9
0,2016/5/16
0,2016/5/23
0,2016/5/30
0,2016/6/6
0,2016/6/13
0,2016/6/20
0,2016/6/27
1,2016/7/4
1,2016/7/11
0,2016/7/18
0,2016/7/25
0,2016/8/1
0,2016/8/8
1,2016/8/15
0,2016/8/22
5,2016/8/29
0,2016/9/5
4,2016/9/12
1,2016/9/19
2,2016/9/26
2,2016/10/3
2,2016/10/10
0,2016/10/17
0,2016/10/24
0,2016/10/31
0,2016/11/7
0,2016/11/14
0,2016/11/21
0,2016/11/28
0,2016/12/5
0,2016/12/12
0,2016/12/19
0,2016/12/26
0,2017/1/2
0,2017/1/9
2,2017/1/16
0,2017/1/23
0,2017/1/30
0,2017/2/6
1,2017/2/13
0,2017/2/20
0,2017/2/27
0,2017/3/6
3,2017/3/13
3,2017/3/20
4,2017/3/27
0,2017/4/3
3,2017/4/10
0,2017/4/17
1,2017/4/24
0,2017/5/1
0,2017/5/8
0,2017/5/15
0,2017/5/22
0,2017/5/29
0,2017/6/5
1,2017/6/12
0,2017/6/19
0,2017/6/26
0,2017/7/3
1,2017/7/10
0,2017/7/17
0,2017/7/24
1,2017/7/31
3,2017/8/7
3,2017/8/14
0,2017/8/21
0,2017/8/28
0,2017/9/4
0,2017/9/11
0,2017/9/18
1,2017/9/25
1,2017/10/2
0,2017/10/9
0,2017/10/16
0,2017/10/23
0,2017/10/30
0,2017/11/6
0,2017/11/13
0,2017/11/20
0,2017/11/27
0,2017/12/4
0,2017/12/11
0,2017/12/18
0,2017/12/25
0,2018/1/1
0,2018/1/8
0,2018/1/15
0,2018/1/22
0,2018/1/29
0,2018/2/5
0,2018/2/12
0,2018/2/19
0,2018/2/26
0,2018/3/5
1,2018/3/12
0,2018/3/19
0,2018/3/26
1,2018/4/2
3,2018/4/9
3,2018/4/16
1,2018/4/23
1,2018/4/30
1,2018/5/7
0,2018/5/14
0,2018/5/21
1,2018/5/28
0,2018/6/4
1,2018/6/11
0,2018/6/18
0,2018/6/25
1,2018/7/2
0,2018/7/9
0,2018/7/16
0,2018/7/23
0,2018/7/30
0,2018/8/6
0,2018/8/13
0,2018/8/20
0,2018/8/27
1,2018/9/3
0,2018/9/10
0,2018/9/17
0,2018/9/24
0,2018/10/1
0,2018/10/8
0,2018/10/15
2,2018/10/22
1,2018/10/29
0,2018/11/5
1,2018/11/12
1,2018/11/19
0,2018/11/26
1,2018/12/3
0,2018/12/10
1,2018/12/17
1,2018/12/24
3,2018/12/31
3,2019/1/7
1,2019/1/14
3,2019/1/21
1,2019/1/28
0,2019/2/4
3,2019/2/11
5,2019/2/18
7,2019/2/25
2,2019/3/4
6,2019/3/11
2,2019/3/18
6,2019/3/25
2,2019/4/1
4,2019/4/8
5,2019/4/15
11,2019/4/22
7,2019/4/29
7,2019/5/6
17,2019/5/13
3,2019/5/20
1,2019/5/27
0,2019/6/3
1,2019/6/10
0,2019/6/17
1,2019/6/24
0,2019/7/1
0,2019/7/8
0,2019/7/15
0,2019/7/22
2,2019/7/29
0,2019/8/5
1,2019/8/12
0,2019/8/19
0,2019/8/26
1,2019/9/2
0,2019/9/9
2,2019/9/16
5,2019/9/23
7,2019/9/30
0,2019/10/7
1,2019/10/14
0,2019/10/21
0,2019/10/28
0,2019/11/4
1,2019/11/11
0,2019/11/18
0,2019/11/25
2,2019/12/2
1,2019/12/9
0,2019/12/16
0,2019/12/23
0,2019/12/30
0,2020/1/6
0,2020/1/13
1,2020/1/20
0,2020/1/27
0,2020/2/3
0,2020/2/10
0,2020/2/17
1,2020/2/24
0,2020/3/2
0,2020/3/9
0,2020/3/16
0,2020/3/23
0,2020/3/30
0,2020/4/6
0,2020/4/13
0,2020/4/20
0,2020/4/27
0,2020/5/4
0,2020/5/11
0,2020/5/18
0,2020/5/25
0,2020/6/1
0,2020/6/8
0,2020/6/15
0,2020/6/22
0,2020/6/29
0,2020/7/6
0,2020/7/13
0,2020/7/20
0,2020/7/27
0,2020/8/3
0,2020/8/10
0,2020/8/17
0,2020/8/24
0,2020/8/31
0,2020/9/7
0,2020/9/14
0,2020/9/21
0,2020/9/28
0,2020/10/5
0,2020/10/12
0,2020/10/19
0,2020/10/26
0,2020/11/2
0,2020/11/9
0,2020/11/16
0,2020/11/23
0,2020/11/30
0,2020/12/7
0,2020/12/14
0,2020/12/21
0,2020/12/28
0,2021/1/4
0,2021/1/11
0,2021/1/18
0,2021/1/25
0,2021/2/1
0,2021/2/8
0,2021/2/15
0,2021/2/22
0,2021/3/1
0,2021/3/8
0,2021/3/15
0,2021/3/22
0,2021/3/29
0,2021/4/5
0,2021/4/12
0,2021/4/19
0,2021/4/26
0,2021/5/3
0,2021/5/10
0,2021/5/17
0,2021/5/24
0,2021/5/31
0,2021/6/7
0,2021/6/14
0,2021/6/21
0,2021/6/28
0,2021/7/5
0,2021/7/12
0,2021/7/19
0,2021/7/26
0,2021/8/2
0,2021/8/9
0,2021/8/16
0,2021/8/23
0,2021/8/30
0,2021/9/6
0,2021/9/13
0,2021/9/20
0,2021/9/27
0,2021/10/4
0,2021/10/11
0,2021/10/18
0,2021/10/25
0,2021/11/1
0,2021/11/8
0,2021/11/15
0,2021/11/22
0,2021/11/29
0,2021/12/6
0,2021/12/13
0,2021/12/20
0,2021/12/27
0,2022/1/3
0,2022/1/10
0,2022/1/17
0,2022/1/24
0,2022/1/31
0,2022/2/7
0,2022/2/14
0,2022/2/21
0,2022/2/28
0,2022/3/7
0,2022/3/14
0,2022/3/21
0,2022/3/28
0,2022/4/4
0,2022/4/11
0,2022/4/18
0,2022/4/25
0,2022/5/2
0,2022/5/9
0,2022/5/16
0,2022/5/23
0,2022/5/30
0,2022/6/6
0,2022/6/13
0,2022/6/20
0,2022/6/27
0,2022/7/4
0,2022/7/11
0,2022/7/18
0,2022/7/25
0,2022/8/1
0,2022/8/8
0,2022/8/15
0,2022/8/22
0,2022/8/29
0,2022/9/5
0,2022/9/12
0,2022/9/19
0,2022/9/26
0,2022/10/3
0,2022/10/10
0,2022/10/17
0,2022/10/24
0,2022/10/31
0,2022/11/7
0,2022/11/14
0,2022/11/21
0,2022/11/28
0,2022/12/5
0,2022/12/12
0,2022/12/19
0,2022/12/26
0,2023/1/2
0,2023/1/9
0,2023/1/16
0,2023/1/23
0,2023/1/30
1,2023/2/6
0,2023/2/13
0,2023/2/20
0,2023/2/27
0,2023/3/6
0,2023/3/13
0,2023/3/20
0,2023/3/27
0,2023/4/3
0,2023/4/10
0,2023/4/17
0,2023/4/24
0,2023/5/1
2,2023/5/8
2,2023/5/15
0,2023/5/22
0,2023/5/29
0,2023/6/5
1,2023/6/12
0,2023/6/19
0,2023/6/26
0,2023/7/3
0,2023/7/10
0,2023/7/17
0,2023/7/24
0,2023/7/31
0,2023/8/7
0,2023/8/14
0,2023/8/21
1,2023/8/28
0,2023/9/4
0,2023/9/11
0,2023/9/18
0,2023/9/25
0,2023/10/2
0,2023/10/9
0,2023/10/16
0,2023/10/23
0,2023/10/30
0,2023/11/6
0,2023/11/13
0,2023/11/20
