ds,y
2022/9/24,20.0 
2022/9/25,19.9 
2022/9/26,20.2 
2022/9/27,20.1 
2022/9/28,19.8 
2022/9/29,19.4 
2022/9/30,20.1 
2022/10/1,20.5 
2022/10/2,20.4 
2022/10/3,19.9 
2022/10/4,21.8 
2022/10/5,17.2 
2022/10/6,11.4 
2022/10/7,10.7 
2022/10/8,14.0 
2022/10/9,14.7 
2022/10/10,15.7 
2022/10/11,18.7 
2022/10/12,16.0 
2022/10/13,13.7 
2022/10/14,15.5 
2022/10/15,17.5 
2022/10/16,17.3 
2022/10/17,17.4 
2022/10/18,14.0 
2022/10/19,12.7 
2022/10/20,12.7 
2022/10/21,14.5 
2022/10/22,14.4 
2022/10/23,15.8 
2022/10/24,11.5 
2022/10/25,11.1 
2022/10/26,12.0 
2022/10/27,11.1 
2022/10/28,11.7 
2022/10/29,13.7 
2022/10/30,12.0 
2022/10/31,12.7 
2022/11/1,12.8 
2022/11/2,14.5 
2022/11/3,15.4 
2022/11/4,13.4 
2022/11/5,12.1 
2022/11/6,11.7 
2022/11/7,11.9 
2022/11/8,13.8 
2022/11/9,12.7 
2022/11/10,13.2 
2022/11/11,14.0 
2022/11/12,14.4 
2022/11/13,15.6 
2022/11/14,14.0 
2022/11/15,9.6 
2022/11/16,10.7 
2022/11/17,11.1 
2022/11/18,11.4 
2022/11/19,11.9 
2022/11/20,10.1 
2022/11/21,11.6 
2022/11/22,13.3 
2022/11/23,10.1 
2022/11/24,13.3 
2022/11/25,11.7 
2022/11/26,11.0 
2022/11/27,12.5 
2022/11/28,10.1 
2022/11/29,14.5 
2022/11/30,14.4 
2022/12/1,8.8 
2022/12/2,8.1 
2022/12/3,6.8 
2022/12/4,8.8 
2022/12/5,6.6 
2022/12/6,5.3 
2022/12/7,7.4 
2022/12/8,8.1 
2022/12/9,8.1 
2022/12/10,9.0 
2022/12/11,8.2 
2022/12/12,7.1 
2022/12/13,6.2 
2022/12/14,8.0 
2022/12/15,6.1 
2022/12/16,7.1 
2022/12/17,5.8 
2022/12/18,5.6 
2022/12/19,4.2 
2022/12/20,4.7 
2022/12/21,5.6 
2022/12/22,6.2 
2022/12/23,4.7 
2022/12/24,5.4 
2022/12/25,6.0 
2022/12/26,5.5 
