ds,y
2022/9/24,100.0 
2022/9/25,75.0 
2022/9/26,75.0 
2022/9/27,76.0 
2022/9/28,63.0 
2022/9/29,73.0 
2022/9/30,71.0 
2022/10/1,67.0 
2022/10/2,64.0 
2022/10/3,77.0 
2022/10/4,71.0 
2022/10/5,88.0 
2022/10/6,92.0 
2022/10/7,94.0 
2022/10/8,86.0 
2022/10/9,84.0 
2022/10/10,95.0 
2022/10/11,65.0 
2022/10/12,68.0 
2022/10/13,91.0 
2022/10/14,91.0 
2022/10/15,79.0 
2022/10/16,82.0 
2022/10/17,93.0 
2022/10/18,85.0 
2022/10/19,70.0 
2022/10/20,58.0 
2022/10/21,68.0 
2022/10/22,77.0 
2022/10/23,71.0 
2022/10/24,77.0 
2022/10/25,58.0 
2022/10/26,59.0 
2022/10/27,65.0 
2022/10/28,73.0 
2022/10/29,59.0 
2022/10/30,58.0 
2022/10/31,62.0 
2022/11/1,69.0 
2022/11/2,72.0 
2022/11/3,70.0 
2022/11/4,73.0 
2022/11/5,56.0 
2022/11/6,61.0 
2022/11/7,70.0 
2022/11/8,55.0 
2022/11/9,58.0 
2022/11/10,64.0 
2022/11/11,66.0 
2022/11/12,77.0 
2022/11/13,82.0 
2022/11/14,52.0 
2022/11/15,93.0 
2022/11/16,66.0 
2022/11/17,58.0 
2022/11/18,67.0 
2022/11/19,61.0 
2022/11/20,80.0 
2022/11/21,93.0 
2022/11/22,74.0 
2022/11/23,93.0 
2022/11/24,66.0 
2022/11/25,67.0 
2022/11/26,81.0 
2022/11/27,54.0 
2022/11/28,65.0 
2022/11/29,84.0 
2022/11/30,81.0 
2022/12/1,74.0 
2022/12/2,60.0 
2022/12/3,67.0 
2022/12/4,66.0 
2022/12/5,78.0 
2022/12/6,94.0 
2022/12/7,71.0 
2022/12/8,62.0 
2022/12/9,66.0 
2022/12/10,65.0 
2022/12/11,72.0 
2022/12/12,59.0 
2022/12/13,87.0 
2022/12/14,52.0 
2022/12/15,47.0 
2022/12/16,51.0 
2022/12/17,64.0 
2022/12/18,57.0 
2022/12/19,38.0 
2022/12/20,48.0 
2022/12/21,60.0 
2022/12/22,86.0 
2022/12/23,29.0 
2022/12/24,42.0 
2022/12/25,49.0 
2022/12/26,46.0 
2022/12/27,48.0 
2022/12/28,61.0 
2022/12/29,51.0 
2022/12/30,51.0 
2022/12/31,60.0 
2023/1/1,62.0 
2023/1/2,51.0 
2023/1/3,42.0 
2023/1/4,47.0 
2023/1/5,36.0 
2023/1/6,47.0 
2023/1/7,59.0 
2023/1/8,58.0 
2023/1/9,61.0 
2023/1/10,42.0 
2023/1/11,52.0 
2023/1/12,52.0 
2023/1/13,60.0 
2023/1/14,81.0 
2023/1/15,84.0 
2023/1/16,90.0 
2023/1/17,65.0 
2023/1/18,64.0 
2023/1/19,61.0 
2023/1/20,63.0 
2023/1/21,37.0 
2023/1/22,51.0 
2023/1/23,77.0 
2023/1/24,61.0 
2023/1/25,30.0 
2023/1/26,44.0 
2023/1/27,59.0 
2023/1/28,37.0 
2023/1/29,50.0 
2023/1/30,53.0 
2023/1/31,38.0 
2023/2/1,47.0 
2023/2/2,36.0 
2023/2/3,47.0 
2023/2/4,58.0 
2023/2/5,55.0 
2023/2/6,56.0 
2023/2/7,63.0 
2023/2/8,70.0 
2023/2/9,39.0 
2023/2/10,82.0 
2023/2/11,61.0 
2023/2/12,65.0 
2023/2/13,87.0 
2023/2/14,45.0 
2023/2/15,37.0 
2023/2/16,48.0 
2023/2/17,55.0 
2023/2/18,61.0 
2023/2/19,56.0 
2023/2/20,43.0 
2023/2/21,36.0 
2023/2/22,46.0 
2023/2/23,53.0 
2023/2/24,71.0 
2023/2/25,50.0 
2023/2/26,35.0 
2023/2/27,46.0 
2023/2/28,51.0 
2023/3/1,49.0 
2023/3/2,50.0 
2023/3/3,49.0 
2023/3/4,44.0 
2023/3/5,57.0 
2023/3/6,79.0 
2023/3/7,65.0 
2023/3/8,52.0 
2023/3/9,55.0 
2023/3/10,56.0 
2023/3/11,44.0 
2023/3/12,63.0 
2023/3/13,75.0 
2023/3/14,59.0 
2023/3/15,65.0 
2023/3/16,68.0 
2023/3/17,78.0 
2023/3/18,96.0 
2023/3/19,57.0 
2023/3/20,61.0 
2023/3/21,72.0 
2023/3/22,74.0 
2023/3/23,98.0 
2023/3/24,87.0 
2023/3/25,95.0 
2023/3/26,99.0 
2023/3/27,55.0 
2023/3/28,80.0 
2023/3/29,72.0 
2023/3/30,76.0 
2023/3/31,73.0 
2023/4/1,63.0 
2023/4/2,67.0 
2023/4/3,57.0 
2023/4/4,54.0 
2023/4/5,58.0 
2023/4/6,67.0 
2023/4/7,85.0 
2023/4/8,70.0 
2023/4/9,43.0 
2023/4/10,47.0 
2023/4/11,57.0 
2023/4/12,66.0 
2023/4/13,47.0 
2023/4/14,59.0 
2023/4/15,91.0 
2023/4/16,89.0 
2023/4/17,46.0 
2023/4/18,61.0 
2023/4/19,69.0 
2023/4/20,72.0 
2023/4/21,66.0 
2023/4/22,45.0 
2023/4/23,38.0 
2023/4/24,38.0 
2023/4/25,56.0 
2023/4/26,87.0 
2023/4/27,52.0 
2023/4/28,64.0 
2023/4/29,66.0 
2023/4/30,90.0 
2023/5/1,70.0 
2023/5/2,42.0 
2023/5/3,59.0 
2023/5/4,65.0 
2023/5/5,61.0 
2023/5/6,61.0 
2023/5/7,92.0 
2023/5/8,87.0 
2023/5/9,53.0 
2023/5/10,61.0 
2023/5/11,76.0 
2023/5/12,68.0 
2023/5/13,83.0 
2023/5/14,83.0 
2023/5/15,94.0 
2023/5/16,66.0 
2023/5/17,67.0 
2023/5/18,53.0 
2023/5/19,79.0 
2023/5/20,90.0 
2023/5/21,79.0 
2023/5/22,77.0 
2023/5/23,93.0 
2023/5/24,58.0 
2023/5/25,64.0 
2023/5/26,68.0 
2023/5/27,66.0 
2023/5/28,72.0 
2023/5/29,97.0 
2023/5/30,88.0 
2023/5/31,71.0 
2023/6/1,72.0 
2023/6/2,99.0 
2023/6/3,82.0 
2023/6/4,67.0 
2023/6/5,64.0 
2023/6/6,78.0 
2023/6/7,74.0 
2023/6/8,73.0 
2023/6/9,99.0 
2023/6/10,87.0 
2023/6/11,97.0 
2023/6/12,100.0 
2023/6/13,86.0 
2023/6/14,87.0 
2023/6/15,95.0 
2023/6/16,66.0 
2023/6/17,59.0 
2023/6/18,72.0 
2023/6/19,68.0 
2023/6/20,68.0 
2023/6/21,71.0 
2023/6/22,84.0 
2023/6/23,85.0 
2023/6/24,78.0 
2023/6/25,76.0 
2023/6/26,77.0 
2023/6/27,82.0 
2023/6/28,80.0 
2023/6/29,78.0 
2023/6/30,89.0 
2023/7/1,93.0 
2023/7/2,79.0 
2023/7/3,79.0 
2023/7/4,75.0 
2023/7/5,80.0 
2023/7/6,82.0 
2023/7/7,71.0 
2023/7/8,77.0 
2023/7/9,78.0 
2023/7/10,72.0 
2023/7/11,74.0 
2023/7/12,66.0 
2023/7/13,67.0 
2023/7/14,76.0 
2023/7/15,73.0 
2023/7/16,71.0 
2023/7/17,64.0 
2023/7/18,59.0 
2023/7/19,74.0 
2023/7/20,71.0 
2023/7/21,71.0 
2023/7/22,70.0 
2023/7/23,66.0 
2023/7/24,70.0 
2023/7/25,65.0 
2023/7/26,59.0 
2023/7/27,65.0 
2023/7/28,69.0 
2023/7/29,67.0 
2023/7/30,69.0 
2023/7/31,69.0 
2023/8/1,88.0 
2023/8/2,75.0 
2023/8/3,69.0 
2023/8/4,65.0 
2023/8/5,71.0 
2023/8/6,81.0 
2023/8/7,76.0 
2023/8/8,74.0 
2023/8/9,90.0 
2023/8/10,73.0 
2023/8/11,72.0 
2023/8/12,71.0 
2023/8/13,94.0 
2023/8/14,88.0 
2023/8/15,85.0 
2023/8/16,86.0 
2023/8/17,77.0 
2023/8/18,77.0 
2023/8/19,76.0 
2023/8/20,73.0 
2023/8/21,76.0 
2023/8/22,87.0 
2023/8/23,82.0 
2023/8/24,79.0 
2023/8/25,74.0 
2023/8/26,81.0 
2023/8/27,78.0 
2023/8/28,74.0 
2023/8/29,74.0 
2023/8/30,74.0 
2023/8/31,74.0 
2023/9/1,71.0 
2023/9/2,72.0 
2023/9/3,74.0 
2023/9/4,96.0 
2023/9/5,77.0 
2023/9/6,79.0 
2023/9/7,72.0 
2023/9/8,98.0 
2023/9/9,93.0 
2023/9/10,83.0 
2023/9/11,79.0 
2023/9/12,76.0 
2023/9/13,74.0 
2023/9/14,80.0 
2023/9/15,88.0 
2023/9/16,86.0 
2023/9/17,80.0 
2023/9/18,74.0 
2023/9/19,72.0 
2023/9/20,82.0 
2023/9/21,87.0 
2023/9/22,93.0 
