Y,date
0,2008/1/7
0,2008/1/14
2,2008/1/21
2,2008/1/28
0,2008/2/4
3,2008/2/11
0,2008/2/18
1,2008/2/25
2,2008/3/3
0,2008/3/10
1,2008/3/17
2,2008/3/24
0,2008/3/31
2,2008/4/7
2,2008/4/14
3,2008/4/21
2,2008/4/28
0,2008/5/5
1,2008/5/12
1,2008/5/19
0,2008/5/26
0,2008/6/2
1,2008/6/9
0,2008/6/16
2,2008/6/23
1,2008/6/30
1,2008/7/7
2,2008/7/14
0,2008/7/21
0,2008/7/28
1,2008/8/4
3,2008/8/11
0,2008/8/18
2,2008/8/25
0,2008/9/1
0,2008/9/8
1,2008/9/15
1,2008/9/22
0,2008/9/29
0,2008/10/6
1,2008/10/13
1,2008/10/20
0,2008/10/27
0,2008/11/3
1,2008/11/10
1,2008/11/17
1,2008/11/24
0,2008/12/1
0,2008/12/8
0,2008/12/15
2,2008/12/22
0,2008/12/29
0,2009/1/5
0,2009/1/12
0,2009/1/19
1,2009/1/26
0,2009/2/2
0,2009/2/9
0,2009/2/16
0,2009/2/23
0,2009/3/2
1,2009/3/9
0,2009/3/16
0,2009/3/23
0,2009/3/30
0,2009/4/6
1,2009/4/13
1,2009/4/20
0,2009/4/27
0,2009/5/4
0,2009/5/11
0,2009/5/18
1,2009/5/25
2,2009/6/1
0,2009/6/8
0,2009/6/15
0,2009/6/22
0,2009/6/29
1,2009/7/6
0,2009/7/13
0,2009/7/20
0,2009/7/27
2,2009/8/3
0,2009/8/10
0,2009/8/17
2,2009/8/24
0,2009/8/31
1,2009/9/7
0,2009/9/14
1,2009/9/21
1,2009/9/28
1,2009/10/5
1,2009/10/12
1,2009/10/19
0,2009/10/26
0,2009/11/2
0,2009/11/9
0,2009/11/16
0,2009/11/23
0,2009/11/30
1,2009/12/7
0,2009/12/14
0,2009/12/21
0,2009/12/28
0,2010/1/4
0,2010/1/11
0,2010/1/18
1,2010/1/25
0,2010/2/1
0,2010/2/8
0,2010/2/15
0,2010/2/22
0,2010/3/1
0,2010/3/8
1,2010/3/15
1,2010/3/22
1,2010/3/29
1,2010/4/5
0,2010/4/12
1,2010/4/19
1,2010/4/26
1,2010/5/3
0,2010/5/10
0,2010/5/17
1,2010/5/24
1,2010/5/31
0,2010/6/7
0,2010/6/14
0,2010/6/21
0,2010/6/28
0,2010/7/5
0,2010/7/12
0,2010/7/19
0,2010/7/26
0,2010/8/2
0,2010/8/9
0,2010/8/16
0,2010/8/23
1,2010/8/30
0,2010/9/6
0,2010/9/13
0,2010/9/20
0,2010/9/27
0,2010/10/4
0,2010/10/11
0,2010/10/18
0,2010/10/25
0,2010/11/1
0,2010/11/8
0,2010/11/15
0,2010/11/22
1,2010/11/29
0,2010/12/6
2,2010/12/13
1,2010/12/20
0,2010/12/27
0,2011/1/3
0,2011/1/10
0,2011/1/17
0,2011/1/24
0,2011/1/31
0,2011/2/7
0,2011/2/14
1,2011/2/21
0,2011/2/28
1,2011/3/7
0,2011/3/14
0,2011/3/21
1,2011/3/28
0,2011/4/4
2,2011/4/11
2,2011/4/18
0,2011/4/25
0,2011/5/2
2,2011/5/9
4,2011/5/16
3,2011/5/23
0,2011/5/30
1,2011/6/6
1,2011/6/13
2,2011/6/20
1,2011/6/27
0,2011/7/4
4,2011/7/11
0,2011/7/18
1,2011/7/25
1,2011/8/1
1,2011/8/8
0,2011/8/15
1,2011/8/22
0,2011/8/29
0,2011/9/5
0,2011/9/12
0,2011/9/19
1,2011/9/26
0,2011/10/3
0,2011/10/10
0,2011/10/17
0,2011/10/24
0,2011/10/31
1,2011/11/7
1,2011/11/14
1,2011/11/21
0,2011/11/28
0,2011/12/5
1,2011/12/12
1,2011/12/19
0,2011/12/26
0,2012/1/2
0,2012/1/9
2,2012/1/16
3,2012/1/23
2,2012/1/30
1,2012/2/6
1,2012/2/13
2,2012/2/20
1,2012/2/27
3,2012/3/5
0,2012/3/12
0,2012/3/19
2,2012/3/26
0,2012/4/2
0,2012/4/9
