No,名称,緯度,経度,生産重要度
1,マンサニージョ港,19.0764601,-104.34132,300
2,トヨタ(TMMGT),20.5702712,-100.5251739,1110
3,メキシコ日産,18.911616,-99.177868,115
4,日産アグア第1工場,21.8039141,-102.3531221,617
5,日産アグアパワー工場,21.8264566,-102.3749152,617
6,日産アグア第2工場,21.7417362,-102.3505784,617
7,ホンダ（Honda）,20.5339292,-103.2427922,120
8,マツダ（Mazda),20.6034947,-101.2432618,160
9,Jatco(ジャトコ),21.8006153,-102.2822837,50
10,ケーヒン（Keihin）,22.1161409,-100.8172879,50
